time(us),amplitude
612360, 1.09
613116, 1.17
613880, 1.21
614644, 1.21
615404, 1.18
616172, 1.12
616932, 1.04
617692, 0.90
618444, 0.77
619204, 0.62
619964, 0.43
620724, 0.30
621484, 0.22
622244, 0.19
623004, 0.19
623764, 0.22
624524, 0.28
625284, 0.36
626044, 0.50
626796, 0.64
627556, 0.79
628316, 0.98
629076, 1.10
629836, 1.18
630596, 1.21
631364, 1.21
632128, 1.18
632892, 1.11
633656, 1.03
634420, 0.88
635180, 0.75
635940, 0.59
636700, 0.40
637452, 0.29
638220, 0.22
638988, 0.19
639740, 0.19
640500, 0.22
641260, 0.29
642012, 0.39
642772, 0.52
643532, 0.65
644292, 0.82
645044, 1.00
645812, 1.11
646576, 1.19
647336, 1.22
648100, 1.21
648868, 1.17
649628, 1.11
650392, 1.00
651148, 0.87
651908, 0.73
652672, 0.56
653428, 0.39
654172, 0.27
654940, 0.21
655700, 0.18
656452, 0.19
657204, 0.23
657964, 0.29
658724, 0.40
659480, 0.53
660236, 0.66
660996, 0.84
661756, 1.01
662516, 1.12
663284, 1.19
664044, 1.21
664808, 1.21
665572, 1.16
666340, 1.09
667100, 0.99
667860, 0.86
668612, 0.72
669372, 0.55
670132, 0.38
670892, 0.26
671644, 0.21
672404, 0.19
673164, 0.19
673916, 0.24
674660, 0.30
675428, 0.41
676188, 0.54
676940, 0.68
677692, 0.85
678452, 1.03
679212, 1.13
679972, 1.19
680732, 1.22
681500, 1.21
682264, 1.16
683024, 1.10
683788, 0.98
684548, 0.85
685308, 0.71
686068, 0.53
686836, 0.37
687596, 0.26
688356, 0.20
689108, 0.19
689868, 0.19
690628, 0.24
691388, 0.31
692148, 0.43
692908, 0.56
693668, 0.69
694428, 0.87
695172, 1.04
695940, 1.14
696704, 1.20
697468, 1.21
698228, 1.21
698996, 1.15
699760, 1.09
700516, 0.97
701260, 0.83
702028, 0.69
702788, 0.51
703548, 0.35
704308, 0.25
705068, 0.20
705828, 0.18
706584, 0.20
707340, 0.25
708100, 0.31
708864, 0.44
709620, 0.57
710380, 0.71
711144, 0.90
711908, 1.06
712652, 1.15
713428, 1.21
714192, 1.21
714956, 1.20
715716, 1.15
716484, 1.08
717244, 0.95
718004, 0.82
718764, 0.67
719524, 0.48
720284, 0.34
721044, 0.24
721796, 0.20
722556, 0.19
723316, 0.20
724060, 0.25
724820, 0.32
725580, 0.45
726340, 0.59
727092, 0.73
727852, 0.92
728612, 1.07
729372, 1.16
730136, 1.21
730900, 1.22
731668, 1.20
732432, 1.14
733200, 1.07
733956, 0.93
734716, 0.80
735476, 0.65
736236, 0.46
736996, 0.33
737760, 0.23
738524, 0.19
739276, 0.19
740036, 0.21
740796, 0.26
741556, 0.34
742316, 0.47
743076, 0.61
743836, 0.75
744596, 0.94
745340, 1.08
746108, 1.16
746872, 1.21
747636, 1.21
748396, 1.19
749164, 1.13
749928, 1.06
750684, 0.92
751444, 0.79
752204, 0.64
752964, 0.44
753716, 0.31
754476, 0.23
755236, 0.19
755996, 0.19
756760, 0.21
757516, 0.27
758276, 0.35
759036, 0.48
759780, 0.62
760548, 0.77
761308, 0.96
762068, 1.09
762812, 1.17
763588, 1.21
764352, 1.21
765116, 1.18
765876, 1.12
766644, 1.04
767404, 0.90
768164, 0.77
768916, 0.62
769676, 0.43
770436, 0.30
771180, 0.22
771948, 0.19
772708, 0.19
773468, 0.22
774228, 0.28
774972, 0.36
775740, 0.50
776500, 0.64
777260, 0.79
778020, 0.98
778780, 1.10
779544, 1.18
780304, 1.21
781068, 1.21
781836, 1.18
782600, 1.12
783368, 1.03
784124, 0.89
784884, 0.75
785644, 0.59
786396, 0.41
787164, 0.29
787924, 0.22
788684, 0.19
789436, 0.19
790196, 0.22
790956, 0.28
791716, 0.38
792460, 0.52
793228, 0.65
793988, 0.81
794748, 1.00
795508, 1.11
796276, 1.19
797040, 1.21
797804, 1.21
798564, 1.17
799332, 1.11
800096, 1.01
800852, 0.87
801604, 0.73
802364, 0.57
803124, 0.39
803868, 0.28
804628, 0.21
805388, 0.18
806148, 0.19
806892, 0.23
807660, 0.29
808420, 0.40
809180, 0.53
809940, 0.67
810700, 0.83
811460, 1.01
812220, 1.12
812980, 1.19
813748, 1.21
814512, 1.21
815276, 1.17
816036, 1.10
816804, 1.00
817568, 0.86
818332, 0.72
819092, 0.55
819860, 0.38
820620, 0.26
821372, 0.21
822132, 0.19
822892, 0.19
823652, 0.24
824396, 0.30
825156, 0.41
825916, 0.55
826676, 0.68
827428, 0.86
828172, 1.03
828940, 1.13
829704, 1.19
830460, 1.21
831228, 1.21
831992, 1.16
832756, 1.09
833508, 0.98
834268, 0.85
835028, 0.71
835788, 0.53
836548, 0.36
837308, 0.26
838068, 0.20
838828, 0.19
839580, 0.20
840340, 0.24
841100, 0.31
841864, 0.43
842620, 0.56
843380, 0.70
844140, 0.87
844900, 1.04
845652, 1.14
846420, 1.20
847180, 1.21
847944, 1.21
848708, 1.15
849476, 1.09
850236, 0.96
850988, 0.83
851748, 0.69
852508, 0.51
853268, 0.35
854036, 0.25
854788, 0.20
855548, 0.19
856308, 0.20
857068, 0.25
857828, 0.31
858592, 0.44
859356, 0.58
860108, 0.71
860876, 0.90
861636, 1.06
862396, 1.15
863156, 1.20
863924, 1.21
864688, 1.20
865452, 1.14
866212, 1.08
866972, 0.95
867732, 0.81
868496, 0.66
869252, 0.48
870012, 0.34
870772, 0.24
871524, 0.19
872276, 0.19
873036, 0.21
873796, 0.25
874548, 0.33
875308, 0.46
876068, 0.59
876828, 0.73
877592, 0.92
878348, 1.07
879108, 1.16
879872, 1.21
880636, 1.22
881404, 1.19
882164, 1.13
882928, 1.07
883684, 0.93
884444, 0.80
885204, 0.65
885964, 0.46
886708, 0.32
887476, 0.23
888236, 0.19
888996, 0.19
889740, 0.21
890508, 0.26
891268, 0.34
892028, 0.47
892772, 0.61
893548, 0.75
894308, 0.94
895068, 1.08
895812, 1.16
896588, 1.21
897352, 1.21
898112, 1.19
898876, 1.13
